1 - Support universal healthcare,1
1 - Pathway to citizenship for undocumented immigrants,1
1 - Aggressive regulations and renewable energy investments,1
1 - Strict gun control laws,1
1 - Increased federal funding and free college,1
1 - Higher taxes on the wealthy to fund social programs,1
1 - Increase minimum wage to $15/hr or more,1
1 - Protect and expand access to abortion,1
1 - Multilateral diplomacy and global cooperation,1
1 - Full legal protections and equality,1
1 - End mass incarceration and reform policing,1
1 - Expand and protect social security,1
1 - Increase funding for housing and social services,1
1 - Legalize and regulate marijuana nationwide,1
1 - Forgive student loan debt,1
1 - Strict regulations and public funding of campaigns,1
1 - Fair trade agreements that protect workers,1
1 - Provide healthcare to all residents regardless of status,1
1 - Break up monopolies and increase regulation,1
1 - Decrease military spending and redirect funds to social programs,1